Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Draft_Position,Pos_CB,Pos_DB,Pos_DE,Pos_DT,Pos_EDGE,Pos_FB,Pos_FS,Pos_G,Pos_ILB,Pos_K,Pos_LB,Pos_LS,Pos_NT,Pos_OG,Pos_OL,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_SS,Pos_TE,Pos_WR
78,265,4.85,33.0,21.0,115.0,7.19,4.35,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
73,199,4.55,33.0,14.0,115.0,7.19,4.35,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,188,4.5,35.5,14.0,124.0,6.91,4.38,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,281,4.73,34.5,31.0,114.0,7.2,4.41,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,253,4.85,27.0,18.0,116.0,7.46,4.52,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,186,4.56,37.0,21.0,124.0,6.6,3.9,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,249,4.62,32.5,22.0,113.0,7.15,4.3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
75,199,4.56,37.5,21.0,121.0,7.03,4.29,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
76,243,4.65,34.0,21.0,120.0,6.9,4.28,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
71,173,4.66,33.0,21.0,115.0,7.19,4.35,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
73,221,4.56,33.0,21.0,115.0,6.97,4.19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
71,195,4.45,33.0,21.0,115.0,7.19,4.35,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,188,4.62,32.0,16.0,117.0,7.3,4.3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,316,5.31,29.5,24.0,98.0,8.0,5.03,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,209,4.5,33.0,15.0,115.0,7.19,4.35,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
76,338,5.85,23.0,20.0,94.0,7.19,4.35,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
73,214,4.94,33.5,19.0,116.0,7.38,4.24,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,189,4.53,38.5,21.0,118.0,7.19,4.2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,253,4.78,28.5,25.0,108.0,7.08,4.34,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,233,4.56,36.0,22.0,120.0,7.19,4.35,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
74,307,4.87,30.0,27.0,105.0,7.37,4.6,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
